case,targets,n_epochs,batch_size,l1_lambda,l2_lambda,loss_func,hidden_channels,conv_layers,conv_activation,decode_activation,decode_layers,learning_rate,schedule,g_up,g_down,N_params,N_trainable,scatter,lowest,epoch_exit,last20,last10
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,2.0,0.001,warmup_expcos,1.3,0.98,469378.0,469378.0,0.6734099388122559,0.6716650128364563,103.0,0.6768225431442261,0.6761478781700134
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,1.0,0.003,warmup_exp,1.3,0.98,352770.0,352770.0,0.9005802869796753,0.7954269647598267,85.0,0.8413031101226807,0.8678475618362427
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,L2,64.0,4.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,464897.0,464897.0,0.12672702968120575,0.12584179639816284,119.0,0.12878859043121338,0.13386721909046173
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,2.0,0.003,constant,1.3,0.98,361346.0,361346.0,0.11281841993331909,0.1038762629032135,93.0,0.11610370874404907,0.11604321748018265
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,3.0,leakyrelu,leakyrelu,3.0,0.001,warmup_expcos,1.3,0.98,241922.0,241922.0,0.18176217377185822,0.1803443878889084,499.0,0.18451131880283356,0.1825835257768631
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,4.0,leakyrelu,leakyrelu,3.0,0.001,warmup_expcos,1.3,0.98,312962.0,312962.0,0.9294242858886719,0.9294237494468689,23.0,0.9294536709785461,0.9294533133506775
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,2.0,leakyrelu,leakyrelu,2.0,0.003,warmup_expcos,1.3,0.98,168642.0,168642.0,0.09400999546051025,0.0930752381682396,255.0,0.09733840823173523,0.09507948160171509
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,32.0,3.0,leakyrelu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,241922.0,241922.0,0.9292575120925903,0.9292052388191223,43.0,0.9293034076690674,0.9292978644371033
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,3.0,0.001,constant,1.3,0.98,477954.0,477954.0,0.694412350654602,0.6860724091529846,29.0,0.7063974142074585,0.703406035900116
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,3.0,0.001,constant,1.3,0.98,261890.0,261890.0,0.1056714877486229,0.10059016197919846,321.0,0.10449254512786865,0.10411606729030609
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,L2,64.0,4.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,464897.0,464897.0,0.10660158842802048,0.10658471286296844,273.0,0.1067696213722229,0.10664129257202148
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,469378.0,469378.0,0.10028707981109619,0.09679664671421051,121.0,0.0986611545085907,0.09852884709835052
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,0.0,0.0,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,261890.0,261890.0,0.09499789029359818,0.09370043873786926,237.0,0.09687452018260956,0.09519083052873611
