case,epoch_exit,scatter_m_star,lowest_m_star,last20_m_star,last10_m_star
vlarge_4t_quantile_raw_redshift_75_all,267.0,0.13928788900375366,0.09770108014345169,0.12283404171466827,0.1312963217496872
vlarge_4t_quantile_raw_redshift_75_all,277.0,0.0992564931511879,0.09760741144418716,0.09921974688768387,0.09925876557826996
vlarge_4t_quantile_raw_redshift_75_all,209.0,0.1016102060675621,0.10044398903846741,0.10170641541481018,0.10161253809928894
vlarge_4t_quantile_raw_redshift_75_all,295.0,0.09779374301433563,0.09680792689323425,0.09779797494411469,0.0977959856390953
vlarge_4t_quantile_raw_redshift_75_all,55.0,0.12802177667617798,0.11602132767438889,0.12608538568019867,0.12304608523845673
vlarge_4t_quantile_raw_redshift_75_all,51.0,0.12192606180906296,0.11619950830936432,0.2693304717540741,0.34949469566345215
vlarge_4t_quantile_raw_redshift_75_all,101.0,0.10388841480016708,0.102705217897892,0.11033929884433746,0.10876155644655228
vlarge_4t_quantile_raw_redshift_75_all,271.0,0.10246000438928604,0.10145706683397293,0.10242485255002975,0.10246235132217407
vlarge_4t_quantile_raw_redshift_75_all,35.0,0.5732210874557495,0.12644562125205994,0.2501063942909241,0.3610486686229706
vlarge_4t_quantile_raw_redshift_75_all,265.0,0.10347156971693039,0.10072948038578033,0.10346318036317825,0.1034524142742157
vlarge_4t_quantile_raw_redshift_75_all,231.0,0.10169347375631332,0.10081895440816879,0.10222242772579193,0.10209549963474274
vlarge_4t_quantile_raw_redshift_75_all,59.0,0.16974303126335144,0.1151009202003479,0.12919238209724426,0.1308877319097519
vlarge_4t_quantile_raw_redshift_75_all,49.0,0.18110144138336182,0.11302726715803146,0.32651323080062866,0.44361692667007446
vlarge_4t_quantile_raw_redshift_75_all,223.0,0.10432269424200058,0.09904387593269348,0.10332918912172318,0.10351371765136719
vlarge_4t_quantile_raw_redshift_75_all,63.0,0.1611783504486084,0.11376263946294785,0.15105992555618286,0.15164555609226227
vlarge_4t_quantile_raw_redshift_75_all,247.0,0.10300436615943909,0.10036347061395645,0.1027921587228775,0.10267598927021027
vlarge_4t_quantile_raw_redshift_75_all,53.0,0.1306273639202118,0.1140560656785965,0.1400441825389862,0.1322130709886551
vlarge_4t_quantile_raw_redshift_85_all,51.0,0.18021248281002045,0.1207113116979599,0.1406140923500061,0.13704955577850342
vlarge_4t_quantile_raw_redshift_85_all,299.0,0.1130160540342331,0.11106671392917633,0.11300958693027496,0.11298064887523651
vlarge_4t_quantile_raw_redshift_85_all,69.0,0.12909485399723053,0.12071095407009125,0.15042582154273987,0.13671886920928955
vlarge_4t_quantile_raw_redshift_85_all,263.0,0.11139952391386032,0.11122262477874756,0.11164810508489609,0.11159814894199371
vlarge_4t_quantile_raw_redshift_85_all,51.0,0.12207584828138351,0.11731056869029999,0.12837284803390503,0.12832540273666382
vlarge_4t_quantile_raw_redshift_85_all,241.0,0.11040857434272766,0.10815458744764328,0.11058224737644196,0.11041110754013062
vlarge_4t_quantile_raw_redshift_85_all,237.0,0.11151999235153198,0.10725060850381851,0.11060662567615509,0.11080120503902435
vlarge_4t_quantile_raw_redshift_85_all,291.0,0.10893777012825012,0.10683923214673996,0.10893697291612625,0.10894026607275009
vlarge_4t_quantile_raw_redshift_85_all,73.0,0.1443859040737152,0.12180282920598984,0.14035624265670776,0.13632327318191528
vlarge_4t_quantile_raw_redshift_85_all,69.0,0.131681427359581,0.11650335043668747,0.12706565856933594,0.12575362622737885
vlarge_4t_quantile_raw_redshift_85_all,83.0,0.12579119205474854,0.11434263736009598,0.1228519007563591,0.12579409778118134
vlarge_4t_quantile_raw_redshift_85_all,209.0,0.11101926863193512,0.10553949326276779,0.10981545597314835,0.11034498363733292
vlarge_4t_quantile_raw_redshift_85_all,63.0,0.16245576739311218,0.12486685812473297,0.22454111278057098,0.18662160634994507
vlarge_4t_quantile_raw_redshift_85_all,111.0,0.14267636835575104,0.11434724181890488,0.12511152029037476,0.1222614198923111
vlarge_4t_quantile_raw_redshift_85_all,251.0,0.11176088452339172,0.10904139280319214,0.11197233200073242,0.11176471412181854
vlarge_4t_quantile_raw_redshift_85_all,149.0,0.10671152174472809,0.10594877600669861,0.10846498608589172,0.10781203210353851
vlarge_4t_quantile_raw_redshift_85_all,257.0,0.11097366362810135,0.10868221521377563,0.11115281283855438,0.11122489720582962
vlarge_4t_quantile_raw_redshift_85_all,233.0,0.12086508423089981,0.10485175251960754,0.10863805562257767,0.10856553167104721
vlarge_4t_quantile_raw_redshift_85_all,53.0,0.3734714686870575,0.12319037318229675,0.16157950460910797,0.14316464960575104
vlarge_4t_quantile_raw_redshift_85_all,299.0,0.11227012425661087,0.10926198214292526,0.11226393282413483,0.11226776242256165
vlarge_4t_quantile_raw_redshift_95_all,215.0,0.13287991285324097,0.11977165937423706,0.13676270842552185,0.13514548540115356
vlarge_4t_quantile_raw_redshift_95_all,69.0,0.13439536094665527,0.1258910447359085,0.13127076625823975,0.13094203174114227
vlarge_4t_quantile_raw_redshift_95_all,67.0,0.18717680871486664,0.12926696240901947,0.15395651757717133,0.18718110024929047
vlarge_4t_quantile_raw_redshift_95_all,177.0,0.12128280848264694,0.12032866477966309,0.1259574294090271,0.12473144382238388
vlarge_4t_quantile_raw_redshift_95_all,53.0,0.13906219601631165,0.13266132771968842,0.15496820211410522,0.15070126950740814
vlarge_4t_quantile_raw_redshift_95_all,251.0,0.12759365141391754,0.11956978589296341,0.1273084282875061,0.12754203379154205
vlarge_4t_quantile_raw_redshift_95_all,51.0,0.19386225938796997,0.13226483762264252,0.1729303002357483,0.20709773898124695
vlarge_4t_quantile_raw_redshift_95_all,107.0,0.12462452799081802,0.12331193685531616,0.1262798011302948,0.12787917256355286
vlarge_4t_quantile_raw_redshift_95_all,263.0,0.122232586145401,0.11910564452409744,0.12225659936666489,0.12243183702230453
vlarge_4t_quantile_raw_redshift_95_all,205.0,0.1239059716463089,0.1203354001045227,0.12327277660369873,0.12377658486366272
vlarge_4t_quantile_raw_redshift_95_all,237.0,0.1246018335223198,0.11895370483398438,0.12311060726642609,0.12322179973125458
vlarge_4t_quantile_raw_redshift_95_all,109.0,0.12075377255678177,0.1206754818558693,0.12269880622625351,0.12095984071493149
vlarge_4t_quantile_raw_redshift_95_all,47.0,0.13322176039218903,0.13006819784641266,0.13554218411445618,0.13337618112564087
vlarge_4t_quantile_raw_redshift_95_all,235.0,0.12441004067659378,0.12141472101211548,0.12582623958587646,0.12483859062194824
vlarge_4t_quantile_raw_redshift_95_all,45.0,0.1713177114725113,0.13426506519317627,0.23812618851661682,0.20877932012081146
vlarge_4t_quantile_raw_redshift_95_all,249.0,0.12203583866357803,0.11814500391483307,0.12132537364959717,0.12148255109786987
vlarge_4t_quantile_raw_redshift_95_all,223.0,0.12533216178417206,0.1215047612786293,0.1252952516078949,0.12533505260944366
vlarge_4t_quantile_raw_redshift_95_all,239.0,0.12182403355836868,0.11709024012088776,0.12158632278442383,0.12174234539270401
vlarge_4t_quantile_raw_redshift_95_all,299.0,0.12166845053434372,0.11895294487476349,0.12167525291442871,0.12167124450206757
vlarge_4t_quantile_raw_redshift_95_all,159.0,0.14052388072013855,0.12027520686388016,0.12194705009460449,0.12153033167123795
vlarge_4t_quantile_raw_redshift_99_all,273.0,0.13433918356895447,0.1327153593301773,0.1343570053577423,0.1343967169523239
vlarge_4t_quantile_raw_redshift_99_all,217.0,0.13782364130020142,0.13354605436325073,0.13778579235076904,0.1380734145641327
vlarge_4t_quantile_raw_redshift_99_all,47.0,0.15821543335914612,0.14526762068271637,0.1724914312362671,0.1690032184123993
vlarge_4t_quantile_raw_redshift_99_all,63.0,0.17703287303447723,0.14135274291038513,0.14659039676189423,0.14529567956924438
vlarge_4t_quantile_raw_redshift_99_all,299.0,0.13145050406455994,0.13145200908184052,0.13147664070129395,0.13145509362220764
